feed_name,landmark_id,landmark_name,category_name,landmark_url,icon_id,lat,lon
anaheim-new-ca-us,74,La Quinta Inn & Suites,Hotels,,,33.804312,-117.909884
anaheim-new-ca-us,75,Marri's Restaurant,Restaurants,,,33.80281,-117.928073
anaheim-new-ca-us,76,Medieval Times Dinner & Tournament,Restaurants,,,33.851548,-117.99666
anaheim-new-ca-us,77,Motel 6,Hotels,,,33.806014,117.90796
anaheim-new-ca-us,78,Outlets at Orange ,Attractions,,,33.782408,-117.893917
anaheim-new-ca-us,79,Peacock Suites,Hotels,,,33.804776,-117.906848
anaheim-new-ca-us,80,Portofino Inn & Suites,Hotels,,,33.8023,-117.915648
anaheim-new-ca-us,81,Quality Inn & Suites (Courtyard and Residence Inn 2016),Hotels,,,33.811853,-117.912379
anaheim-new-ca-us,82,Ramada Plaza,Hotels,,,33.803561,-117.913937
anaheim-new-ca-us,83,Red Lion Hotel,Hotels,,,33.801673,-117.9148
anaheim-new-ca-us,84,Roscoes Chicken & Waffles ,Restaurants,,,34.098572,-118.322207
anaheim-new-ca-us,85,Ruth Chris Steakhouse,Restaurants,,,33.797683,-117.915601
anaheim-new-ca-us,86,Shakey's Pizza,Restaurants,,,33.819491,-117.915283
anaheim-new-ca-us,87,Springhill Suites ,Hotels,,,33.817797,-117.926615
anaheim-new-ca-us,88,Stanford Inn & Suites,Hotels,,,33.793846,-117.915296
anaheim-new-ca-us,89,Staybridge Suites,Hotels,,,33.800922,-117.901206
anaheim-new-ca-us,90,Tagerine Grill,Restaurants,,,33.803149,-117.923054
anaheim-new-ca-us,91,Team Disney Administration Building,Attractions,,,33.817472,-117.918938
anaheim-new-ca-us,92,The Sand Box,Restaurants,,,33.803552,-117.916157
anaheim-new-ca-us,93,TownPlace Suties ,Hotels,,,33.804593,-117.88882
anaheim-new-ca-us,94,Toy Story Transportation Center,Attractions,,,33.799806,-117.911892
anaheim-new-ca-us,95,Walmart Neighborhood Market,Attractions,,,33.801296,-117.9422
anaheim-new-ca-us,96,Westfield MainPlace Mall,Attractions,,,33.775235,-117.86914
anaheim-new-ca-us,97,WorldMark Anaheim,Hotels,,,33.803568,-117.908994
