feed_name,landmark_id,landmark_name,Shopify Variant ID,category_name,landmark_url,icon_id,latitude,longitude,major,pass_pickup,upcoming in May,min_zoom_level,max_zoom_level
anaheim-ca-us,66,Holiday Inn Hotel & Suites,1063842368,Hotels,,hotel_icon,33.816634,-117.928083,0,1,,16,22
anaheim-ca-us,20,Homewood Suites,1063842372,Hotels,,hotel_icon,33.788242,-117.917371,0,1,,16,22
anaheim-ca-us,67,Hotel Menage,1063842376,Hotels,,hotel_icon,33.81747,-117.915851,0,0,,16,22
anaheim-ca-us,62,Downtown Anaheim -- Anaheim Muzeo,,Attractions,,attraction_icon,33.833297,-117.914037,0,0,,16,22
anaheim-ca-us,68,Howard Johnson Anaheim,1063842380,Hotels,,hotel_icon,33.812858,-117.91412,0,0,,16,22
anaheim-ca-us,22,Hyatt House,1063842384,Hotels,,hotel_icon,33.808213,-118.029842,0,1,,16,22
anaheim-ca-us,23,Hyatt Place,1063842388,Hotels,,hotel_icon,33.79836,-117.9163,0,1,,16,22
anaheim-ca-us,71,Knight's Inn,1063842392,Hotels,,hotel_icon,33.817876,-117.913404,0,0,,16,22
anaheim-ca-us,74,La Quinta Inn & Suites,1063842396,Hotels,,hotel_icon,33.804312,-117.909884,0,1,,16,22
anaheim-ca-us,77,Motel 6,1063842400,Hotels,,hotel_icon,33.806014,-117.90796,0,0,,16,22
anaheim-ca-us,69,IHOP,,Restaurants,,restaurant_icon,33.809194,-117.915132,0,1,,16,22
anaheim-ca-us,70,Kaiser Perminente Medical Center,,Attractions,,attraction_icon,33.853261,-117.844353,0,1,,16,22
anaheim-ca-us,79,Peacock Suites,1063842404,Hotels,,hotel_icon,33.804776,-117.906848,0,1,,16,22
anaheim-ca-us,72,Knott's Berry Farm,,Attractions,,attraction_icon,33.84422,-118.000193,0,1,,16,22
anaheim-ca-us,73,Ky'a Restaurant,,Restaurants,,restaurant_icon,33.817475,-117.915887,0,1,,16,22
anaheim-ca-us,80,Portofino Inn & Suites,1063842408,Hotels,,hotel_icon,33.8023,-117.915648,0,1,,16,22
anaheim-ca-us,75,Marri's Restaurant,,Restaurants,,restaurant_icon,33.80281,-117.928073,0,0,,16,22
anaheim-ca-us,76,Medieval Times Dinner & Tournament,,Restaurants,,restaurant_icon,33.851548,-117.99666,0,0,,16,22
anaheim-ca-us,81,Quality Inn & Suites (Courtyard and Residence Inn 2016),1063842412,Hotels,,hotel_icon,33.811853,-117.912379,0,1,,16,22
anaheim-ca-us,28,Ramada Maingate North,1063842416,Hotels,,hotel_icon,33.820963,-117.915477,0,0,,16,22
anaheim-ca-us,82,Ramada Plaza,1063842420,Hotels,,hotel_icon,33.803561,-117.913937,0,0,,16,22
anaheim-ca-us,83,Red Lion Hotel,1063842424,Hotels,,hotel_icon,33.801673,-117.9148,0,1,,16,22
anaheim-ca-us,30,Sheraton Park,1063842428,Hotels,,hotel_icon,33.800766,-117.915625,0,0,,16,22
anaheim-ca-us,87,Springhill Suites,1063842432,Hotels,,hotel_icon,33.817797,-117.926615,0,0,,16,22
anaheim-ca-us,84,Roscoes Chicken & Waffles,,Restaurants,,restaurant_icon,33.795328,-117.914731,0,1,,16,22
anaheim-ca-us,85,Ruth Chris Steakhouse,,Restaurants,,restaurant_icon,33.797683,-117.915601,0,0,,16,22
anaheim-ca-us,86,Shakey's Pizza,,Restaurants,,restaurant_icon,33.819491,-117.915283,0,1,,16,22
anaheim-ca-us,31,Sprinhgill Suites,1063842436,Hotels,,hotel_icon,33.802964,-117.915979,0,1,,16,22
anaheim-ca-us,88,Stanford Inn & Suites,1063842440,Hotels,,hotel_icon,33.793846,-117.915296,0,1,,16,22
anaheim-ca-us,89,Staybridge Suites,1063842444,Hotels,,hotel_icon,33.800922,-117.901206,0,1,,16,22
anaheim-ca-us,90,Tagerine Grill,,Restaurants,,restaurant_icon,33.803149,-117.923054,0,1,,16,22
anaheim-ca-us,91,Team Disney Administration Building,,Attractions,,attraction_icon,33.817472,-117.918938,0,0,,16,22
anaheim-ca-us,92,The Sand Box,,Restaurants,,restaurant_icon,33.803552,-117.916157,0,0,,16,22
anaheim-ca-us,93,TownPlace Suties,1063842448,Hotels,,hotel_icon,33.804593,-117.88882,0,0,,16,22
