feed_name,landmark_id,landmark_name,category_name,landmark_url,icon_id,lat,lon,major
anaheim-new-ca-us,1, America's Best Value Inn,Hotels,,hotel_icon,33.803533,-117.913191,0
anaheim-new-ca-us,2, Anaheim Brewery,Restaurants,,restaurant_icon,33.832474,-117.91274,0
anaheim-new-ca-us,3, Anaheim Convention Center,Attractions,,anaheim_convention_center,33.799796,-117.920064,1
anaheim-new-ca-us,4,Angel Stadium of Anaheim,Attractions,,angel_stadium,33.799298,-117.883872,1
anaheim-new-ca-us,5, Bodies THE EXHIBITION,Attractions,,attraction_icon,33.851058,-117.99837,0
anaheim-new-ca-us,6, Carrows Restaurant,Restaurants,,restaurant_icon,33.821224,-117.915463,0
anaheim-new-ca-us,7, City Hall,Attractions,,anaheim_city_hall,33.834503,-117.912898,1
anaheim-new-ca-us,8, Clarion Hotel,Hotels,,hotel_icon,33.79957,-117.916168,0
anaheim-new-ca-us,9, Coffee  Bean & Tea Leaf,Restaurants,,restaurant_icon,33.839685,-117.888818,0
anaheim-new-ca-us,10, Cortona Inn & Suites,Hotels,,hotel_icon,33.798158,-117.915911,0
anaheim-new-ca-us,11, Courtyard by Marriott,Hotels,,hotel_icon,33.797708,-117.916598,0
anaheim-new-ca-us,12, Denny's Restaurant,Restaurants,,restaurant_icon,33.802903,-117.927147,0
anaheim-new-ca-us,13, Dolphin's Cove,Hotels,,hotel_icon,33.796231,-117.9135,0
anaheim-new-ca-us,14, Econolodge ,Hotels,,hotel_icon,33.847164,-117.980096,0
anaheim-new-ca-us,15, Extended Stay,Hotels,,hotel_icon,33.804656,-117.908755,0
anaheim-new-ca-us,16, GreenWood Suites,Hotels,,hotel_icon,33.805027,-117.906794,0
anaheim-new-ca-us,17,The Blind Rabbitt (Speak Easy),Restaurants,,restaurant_icon,33.831405,-117.911619,0
anaheim-new-ca-us,18, Hilton Anaheim,Hotels,,hotel_icon,33.79988,-117.918414,0
anaheim-new-ca-us,19, Holiday Inn Anaheim Resort,Hotels,,hotel_icon,33.800514,-117.901128,0
anaheim-new-ca-us,20, Homewood Suites,Hotels,,hotel_icon,33.788242,-117.917371,0
anaheim-new-ca-us,21, Honda Center,Attractions,,honda_center,33.807331,-117.876535,1
anaheim-new-ca-us,22, Hyatt House,Hotels,,hotel_icon,33.808213,-118.029842,0
anaheim-new-ca-us,23, Hyatt Place,Hotels,,hotel_icon,33.79836,-117.9163,0
anaheim-new-ca-us,24, L3 Interstate Electronics,Attractions,,attraction_icon,33.82436,-117.903405,0
anaheim-new-ca-us,25, Morton's The Steakhouse,Restaurants,,restaurant_icon,33.800135,-117.915834,0
anaheim-new-ca-us,26, National Grove of Anaheim,Attractions,,attraction_icon,33.803105,-117.886238,0
anaheim-new-ca-us,27, Pirates Dinner Adventure,Restaurants,,restaurant_icon,33.853479,-117.997618,0
anaheim-new-ca-us,28, Ramada Maingate North,Hotels,,hotel_icon,33.820963,-117.915477,0
